minor_class_id,class_id,fiscal_year,total,minor_class,class,department,fund
285,2,2015,98439,Rents,Purchase of Services,Human Services,General Operating Fund
285,2,2015,3940,Rents,Purchase of Services,Director of Finance,General Operating Fund
181,1,2015,3885,Shift,Personal Services,Revenue,General Operating Fund
181,1,2015,29000,Shift,Personal Services,Sheriff,General Operating Fund
255,2,2015,684400,Dues,Purchase of Services,Water,Water Operating Fund
181,1,2015,259900,Shift,Personal Services,Water,Water Operating Fund
499,4,2015,2205,Other Equipment (noc),Equipment,Streets,General Operating Fund
304,3,2015,10000,Books and Other Publications,Materials and Supplies,Law,Water Operating Fund
161,1,2015,26096577,Overtime Civilian,Personal Services,Prisons,General Operating Fund
181,1,2015,13912,Shift,Personal Services,Fleet Management,Water Operating Fund
100,1,2015,100000,Salary Control,Personal Services,City Council,General Operating Fund
101,1,2015,13529124,Perm Full Time-civilian,Personal Services,City Council,General Operating Fund
111,1,2015,195000,Perm Part Time,Personal Services,City Council,General Operating Fund
121,1,2015,75000,Temporary Seasonal,Personal Services,City Council,General Operating Fund
201,2,2015,485,Cleaning and Laundering,Purchase of Services,City Council,General Operating Fund
202,2,2015,2500,Janitorial Services,Purchase of Services,City Council,General Operating Fund
209,2,2015,2000,Telephone,Purchase of Services,City Council,General Operating Fund
210,2,2015,150000,Postage,Purchase of Services,City Council,General Operating Fund
211,2,2015,10000,Transportation,Purchase of Services,City Council,General Operating Fund
216,2,2015,10000,Commercial Off-shelf Comp Software,Purchase of Services,City Council,General Operating Fund
230,2,2015,5000,Meals-non-travel & Officl Entertain,Purchase of Services,City Council,General Operating Fund
240,2,2015,600000,Advertising/promotional Activities,Purchase of Services,City Council,General Operating Fund
250,2,2015,705000,Professional Consult/spec Services,Purchase of Services,City Council,General Operating Fund
251,2,2015,150000,Information Technology-prof Service,Purchase of Services,City Council,General Operating Fund
255,2,2015,2500,Dues,Purchase of Services,City Council,General Operating Fund
256,2,2015,5000,Seminar and Training Sessions,Purchase of Services,City Council,General Operating Fund
258,2,2015,175000,Court Reporters,Purchase of Services,City Council,General Operating Fund
260,2,2015,10000,Repair and Maintenance Charges,Purchase of Services,City Council,General Operating Fund
266,2,2015,25000,Maint/support-computr Hardware/soft,Purchase of Services,City Council,General Operating Fund
285,2,2015,152000,Rents,Purchase of Services,City Council,General Operating Fund
301,3,2015,750,Agricultural and Botanical,Materials and Supplies,City Council,General Operating Fund
304,3,2015,40000,Books and Other Publications,Materials and Supplies,City Council,General Operating Fund
305,3,2015,750,Building and Construction,Materials and Supplies,City Council,General Operating Fund
309,3,2015,1000,Cordage and Fibers,Materials and Supplies,City Council,General Operating Fund
310,3,2015,3500,Electrical and Communication,Materials and Supplies,City Council,General Operating Fund
313,3,2015,7500,Food,Materials and Supplies,City Council,General Operating Fund
316,3,2015,1000,General Hardware and Minor Tools,Materials and Supplies,City Council,General Operating Fund
318,3,2015,5000,"Janitorial, Laundry and Household",Materials and Supplies,City Council,General Operating Fund
320,3,2015,90000,Office Materials and Supplies,Materials and Supplies,City Council,General Operating Fund
324,3,2015,1500,"Precision, Photographic and Artists",Materials and Supplies,City Council,General Operating Fund
325,3,2015,110000,Printing,Materials and Supplies,City Council,General Operating Fund
420,4,2015,25000,Office Equipment,Equipment,City Council,General Operating Fund
423,4,2015,4000,Plumbing/air Conditioning/space Htg,Equipment,City Council,General Operating Fund
427,4,2015,60000,Computer Equipment & Peripherals,Equipment,City Council,General Operating Fund
430,4,2015,60650,Furniture and Furnishings,Equipment,City Council,General Operating Fund
420,4,2015,85780,Office Equipment,Equipment,Police,General Operating Fund
599,5,2015,100,Other Expenses (noc),"Contributions, Indemnities, Refunds, Taxes",City Council,General Operating Fund
800,8,2015,100,Pmt to Other Funds Control,Payments to Other Funds,City Council,General Operating Fund
999,9,2015,100,Standby Authorizations,Advances & Other Misc Payments,City Council,General Operating Fund
100,1,2015,154471,Salary Control,Personal Services,Mayor's Office-labor Relations,General Operating Fund
101,1,2015,456576,Perm Full Time-civilian,Personal Services,Mayor's Office-labor Relations,General Operating Fund
161,1,2015,5000,Overtime Civilian,Personal Services,Mayor's Office-labor Relations,General Operating Fund
211,2,2015,500,Transportation,Purchase of Services,Mayor's Office-labor Relations,General Operating Fund
256,2,2015,2777,Seminar and Training Sessions,Purchase of Services,Mayor's Office-labor Relations,General Operating Fund
304,3,2015,5560,Books and Other Publications,Materials and Supplies,Mayor's Office-labor Relations,General Operating Fund
320,3,2015,1000,Office Materials and Supplies,Materials and Supplies,Mayor's Office-labor Relations,General Operating Fund
420,4,2015,1600,Office Equipment,Equipment,Mayor's Office-labor Relations,General Operating Fund
100,1,2015,160000,Salary Control,Personal Services,Office of Innovation & Technology,General Operating Fund
101,1,2015,18691491,Perm Full Time-civilian,Personal Services,Office of Innovation & Technology,General Operating Fund
111,1,2015,284385,Perm Part Time,Personal Services,Office of Innovation & Technology,General Operating Fund
121,1,2015,10000,Temporary Seasonal,Personal Services,Office of Innovation & Technology,General Operating Fund
161,1,2015,516989,Overtime Civilian,Personal Services,Office of Innovation & Technology,General Operating Fund
171,1,2015,41000,"Holiday ""g""(2/3 Shifts)",Personal Services,Office of Innovation & Technology,General Operating Fund
181,1,2015,11912,Shift,Personal Services,Office of Innovation & Technology,General Operating Fund
209,2,2015,12649533,Telephone,Purchase of Services,Office of Innovation & Technology,General Operating Fund
210,2,2015,3000,Postage,Purchase of Services,Office of Innovation & Technology,General Operating Fund
211,2,2015,9050,Transportation,Purchase of Services,Office of Innovation & Technology,General Operating Fund
216,2,2015,1319857,Commercial Off-shelf Comp Software,Purchase of Services,Office of Innovation & Technology,General Operating Fund
220,2,2015,211000,Electric Current-structures/streets,Purchase of Services,Office of Innovation & Technology,General Operating Fund
250,2,2015,716712,Professional Consult/spec Services,Purchase of Services,Office of Innovation & Technology,General Operating Fund
251,2,2015,25337685,Information Technology-prof Service,Purchase of Services,Office of Innovation & Technology,General Operating Fund
255,2,2015,24741,Dues,Purchase of Services,Office of Innovation & Technology,General Operating Fund
256,2,2015,27175,Seminar and Training Sessions,Purchase of Services,Office of Innovation & Technology,General Operating Fund
260,2,2015,6105540,Repair and Maintenance Charges,Purchase of Services,Office of Innovation & Technology,General Operating Fund
266,2,2015,7181248,Maint/support-computr Hardware/soft,Purchase of Services,Office of Innovation & Technology,General Operating Fund
282,2,2015,82102,Rent/lease-purchase Computer Equip,Purchase of Services,Office of Innovation & Technology,General Operating Fund
285,2,2015,328641,Rents,Purchase of Services,Office of Innovation & Technology,General Operating Fund
304,3,2015,1595,Books and Other Publications,Materials and Supplies,Office of Innovation & Technology,General Operating Fund
310,3,2015,1393657,Electrical and Communication,Materials and Supplies,Office of Innovation & Technology,General Operating Fund
311,3,2015,60,General Equipment and Machinery,Materials and Supplies,Office of Innovation & Technology,General Operating Fund
312,3,2015,19200,Fire Fighting and Safety,Materials and Supplies,Office of Innovation & Technology,General Operating Fund
320,3,2015,104949,Office Materials and Supplies,Materials and Supplies,Office of Innovation & Technology,General Operating Fund
324,3,2015,12774,"Precision, Photographic and Artists",Materials and Supplies,Office of Innovation & Technology,General Operating Fund
325,3,2015,770,Printing,Materials and Supplies,Office of Innovation & Technology,General Operating Fund
399,3,2015,3648,Other Materials and Supplies (noc),Materials and Supplies,Office of Innovation & Technology,General Operating Fund
410,4,2015,2606838,Electrical Lighting Communication,Equipment,Office of Innovation & Technology,General Operating Fund
420,4,2015,1090,Office Equipment,Equipment,Office of Innovation & Technology,General Operating Fund
423,4,2015,100000,Plumbing/air Conditioning/space Htg,Equipment,Office of Innovation & Technology,General Operating Fund
427,4,2015,4193321,Computer Equipment & Peripherals,Equipment,Office of Innovation & Technology,General Operating Fund
430,4,2015,42595,Furniture and Furnishings,Equipment,Office of Innovation & Technology,General Operating Fund
100,1,2015,232371,Salary Control,Personal Services,Mayor's Office,General Operating Fund
101,1,2015,3907009,Perm Full Time-civilian,Personal Services,Mayor's Office,General Operating Fund
121,1,2015,12000,Temporary Seasonal,Personal Services,Mayor's Office,General Operating Fund
210,2,2015,1194,Postage,Purchase of Services,Mayor's Office,General Operating Fund
100,1,2015,10568875,Salary Control,Personal Services,Police,General Operating Fund
211,2,2015,25435,Transportation,Purchase of Services,Mayor's Office,General Operating Fund
230,2,2015,3442,Meals-non-travel & Officl Entertain,Purchase of Services,Mayor's Office,General Operating Fund
250,2,2015,876290,Professional Consult/spec Services,Purchase of Services,Mayor's Office,General Operating Fund
255,2,2015,87475,Dues,Purchase of Services,Mayor's Office,General Operating Fund
256,2,2015,3500,Seminar and Training Sessions,Purchase of Services,Mayor's Office,General Operating Fund
260,2,2015,20000,Repair and Maintenance Charges,Purchase of Services,Mayor's Office,General Operating Fund
266,2,2015,23000,Maint/support-computr Hardware/soft,Purchase of Services,Mayor's Office,General Operating Fund
304,3,2015,3262,Books and Other Publications,Materials and Supplies,Mayor's Office,General Operating Fund
320,3,2015,27528,Office Materials and Supplies,Materials and Supplies,Mayor's Office,General Operating Fund
324,3,2015,1000,"Precision, Photographic and Artists",Materials and Supplies,Mayor's Office,General Operating Fund
325,3,2015,15984,Printing,Materials and Supplies,Mayor's Office,General Operating Fund
420,4,2015,2391,Office Equipment,Equipment,Mayor's Office,General Operating Fund
504,5,2015,200000,Meritorious Awards,"Contributions, Indemnities, Refunds, Taxes",Mayor's Office,General Operating Fund
250,2,2015,3020000,Professional Consult/spec Services,Purchase of Services,Office of Housing,General Operating Fund
101,1,2015,15058861,Perm Full Time-civilian,Personal Services,Managing Director,General Operating Fund
121,1,2015,571650,Temporary Seasonal,Personal Services,Managing Director,General Operating Fund
161,1,2015,411892,Overtime Civilian,Personal Services,Managing Director,General Operating Fund
171,1,2015,5000,"Holiday ""g""(2/3 Shifts)",Personal Services,Managing Director,General Operating Fund
181,1,2015,3500,Shift,Personal Services,Managing Director,General Operating Fund
209,2,2015,2860,Telephone,Purchase of Services,Managing Director,General Operating Fund
210,2,2015,9375,Postage,Purchase of Services,Managing Director,General Operating Fund
211,2,2015,33956,Transportation,Purchase of Services,Managing Director,General Operating Fund
216,2,2015,157958,Commercial Off-shelf Comp Software,Purchase of Services,Managing Director,General Operating Fund
230,2,2015,9596,Meals-non-travel & Officl Entertain,Purchase of Services,Managing Director,General Operating Fund
240,2,2015,3750,Advertising/promotional Activities,Purchase of Services,Managing Director,General Operating Fund
250,2,2015,8345330,Professional Consult/spec Services,Purchase of Services,Managing Director,General Operating Fund
